all space.n.01 attribute.n.02, all attribute.n.02 entity.n.01: all space.n.01 entity.n.01; some-not space.n.01 entity.n.01
all performer.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all performer.n.01 entity.n.01; some-not performer.n.01 entity.n.01
all establishment.n.04 structure.n.01, all structure.n.01 whole.n.02: all establishment.n.04 whole.n.02; some-not establishment.n.04 whole.n.02
all clarinetist.n.01 musician.n.01, all musician.n.01 performer.n.01: all clarinetist.n.01 performer.n.01; some-not clarinetist.n.01 performer.n.01
all sexual_pleasure.n.01 pleasure.n.01, all pleasure.n.01 feeling.n.01: all sexual_pleasure.n.01 feeling.n.01; some-not sexual_pleasure.n.01 feeling.n.01
all follower.n.02 traveler.n.01, all traveler.n.01 person.n.01: all follower.n.02 person.n.01; some-not follower.n.02 person.n.01
all white.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all white.n.01 entity.n.01; some-not white.n.01 entity.n.01
all nonattendance.n.01 group_action.n.01, all group_action.n.01 psychological_feature.n.01: all nonattendance.n.01 psychological_feature.n.01; some-not nonattendance.n.01 psychological_feature.n.01
all butter.n.01 matter.n.03, all matter.n.03 entity.n.01: all butter.n.01 entity.n.01; some-not butter.n.01 entity.n.01
all leader.n.01 person.n.01, all person.n.01 entity.n.01: all leader.n.01 entity.n.01; some-not leader.n.01 entity.n.01
all person.n.01 physical_entity.n.01, all physical_entity.n.01 entity.n.01: all person.n.01 entity.n.01; some-not person.n.01 entity.n.01
all biology.n.01 life_science.n.01, all life_science.n.01 knowledge_domain.n.01: all biology.n.01 knowledge_domain.n.01; some-not biology.n.01 knowledge_domain.n.01
all brush.n.02 artifact.n.01, all artifact.n.01 entity.n.01: all brush.n.02 entity.n.01; some-not brush.n.02 entity.n.01
all preserver.n.03 person.n.01, all person.n.01 physical_entity.n.01: all preserver.n.03 physical_entity.n.01; some-not preserver.n.03 physical_entity.n.01
all aluminum.n.01 metallic_element.n.01, all metallic_element.n.01 entity.n.01: all aluminum.n.01 entity.n.01; some-not aluminum.n.01 entity.n.01
all agreement.n.01 abstraction.n.06, all abstraction.n.06 entity.n.01: all agreement.n.01 entity.n.01; some-not agreement.n.01 entity.n.01
all neurologist.n.01 doctor.n.01, all doctor.n.01 adult.n.01: all neurologist.n.01 adult.n.01; some-not neurologist.n.01 adult.n.01
