some-not layer.n.01 device.n.01, all brass.n.02 device.n.01: some-not layer.n.01 brass.n.02; all layer.n.01 brass.n.02
some-not object.n.01 attribute.n.02, all immorality.n.01 attribute.n.02: some-not object.n.01 immorality.n.01; all object.n.01 immorality.n.01
some-not collection.n.01 act.n.02, all protection.n.01 act.n.02: some-not collection.n.01 protection.n.01; all collection.n.01 protection.n.01
some-not part.n.02 artifact.n.01, all house.n.01 artifact.n.01: some-not part.n.02 house.n.01; all part.n.02 house.n.01
some-not device.n.01 implement.n.01, all knife.n.01 implement.n.01: some-not device.n.01 knife.n.01; all device.n.01 knife.n.01
some-not activity.n.01 discipline.n.01, all life_science.n.01 discipline.n.01: some-not activity.n.01 life_science.n.01; all activity.n.01 life_science.n.01
some-not fluid.n.02 chemical.n.01, all hydrocarbon.n.01 chemical.n.01: some-not fluid.n.02 hydrocarbon.n.01; all fluid.n.02 hydrocarbon.n.01
some-not cell.n.02 organism.n.01, all alga.n.01 organism.n.01: some-not cell.n.02 alga.n.01; all cell.n.02 alga.n.01
some-not leader.n.01 scientist.n.01, all biologist.n.01 scientist.n.01: some-not leader.n.01 biologist.n.01; all leader.n.01 biologist.n.01
some-not cell.n.02 organism.n.01, all swan.n.01 organism.n.01: some-not cell.n.02 swan.n.01; all cell.n.02 swan.n.01
some-not unit.n.05 chemical.n.01, all monoamine.n.01 chemical.n.01: some-not unit.n.05 monoamine.n.01; all unit.n.05 monoamine.n.01
some-not object.n.01 attribute.n.02, all ill_health.n.01 attribute.n.02: some-not object.n.01 ill_health.n.01; all object.n.01 ill_health.n.01
some-not activity.n.01 change.n.03, all beginning.n.05 change.n.03: some-not activity.n.01 beginning.n.05; all activity.n.01 beginning.n.05
some-not matter.n.03 group.n.01, all organization.n.01 group.n.01: some-not matter.n.03 organization.n.01; all matter.n.03 organization.n.01
some-not fluid.n.02 chemical.n.01, all ketone.n.01 chemical.n.01: some-not fluid.n.02 ketone.n.01; all fluid.n.02 ketone.n.01
some-not layer.n.01 device.n.01, all spear.n.01 device.n.01: some-not layer.n.01 spear.n.01; all layer.n.01 spear.n.01
some-not part.n.02 artifact.n.01, all outbuilding.n.01 artifact.n.01: some-not part.n.02 outbuilding.n.01; all part.n.02 outbuilding.n.01
some-not strip.n.02 instrumentality.n.03, all implement.n.01 instrumentality.n.03: some-not strip.n.02 implement.n.01; all strip.n.02 implement.n.01
some-not part.n.02 artifact.n.01, all storehouse.n.01 artifact.n.01: some-not part.n.02 storehouse.n.01; all part.n.02 storehouse.n.01
some-not unit.n.05 chemical.n.01, all steroid.n.01 chemical.n.01: some-not unit.n.05 steroid.n.01; all unit.n.05 steroid.n.01
some-not object.n.01 attribute.n.02, all interest.n.03 attribute.n.02: some-not object.n.01 interest.n.03; all object.n.01 interest.n.03
some-not group.n.01 instrumentality.n.03, all craft.n.02 instrumentality.n.03: some-not group.n.01 craft.n.02; all group.n.01 craft.n.02
some-not anemia.n.01 disease.n.01, all erythema.n.01 disease.n.01: some-not anemia.n.01 erythema.n.01; all anemia.n.01 erythema.n.01
some-not politician.n.02 educator.n.01, all missionary.n.01 educator.n.01: some-not politician.n.02 missionary.n.01; all politician.n.02 missionary.n.01
some-not beverage.n.01 drug.n.01, all analgesic.n.01 drug.n.01: some-not beverage.n.01 analgesic.n.01; all beverage.n.01 analgesic.n.01
