all whole.n.02 object.n.01, no object.n.01 substance.n.04: no whole.n.02 substance.n.04; some whole.n.02 substance.n.04
all ill_health.n.01 condition.n.01, no condition.n.01 polyvalence.n.02: no ill_health.n.01 polyvalence.n.02; some ill_health.n.01 polyvalence.n.02
all persecution.n.01 activity.n.01, no activity.n.01 propulsion.n.02: no persecution.n.01 propulsion.n.02; some persecution.n.01 propulsion.n.02
all wrapping.n.01 whole.n.02, no whole.n.02 je_ne_sais_quoi.n.01: no wrapping.n.01 je_ne_sais_quoi.n.01; some wrapping.n.01 je_ne_sais_quoi.n.01
all benevolence.n.02 attribute.n.02, no attribute.n.02 relation.n.01: no benevolence.n.02 relation.n.01; some benevolence.n.02 relation.n.01
all part.n.03 thing.n.12, no thing.n.12 substance.n.04: no part.n.03 substance.n.04; some part.n.03 substance.n.04
all drummer.n.01 musician.n.01, no musician.n.01 executant.n.01: no drummer.n.01 executant.n.01; some drummer.n.01 executant.n.01
all artifact.n.01 object.n.01, no object.n.01 substance.n.04: no artifact.n.01 substance.n.04; some artifact.n.01 substance.n.04
all instrumentality.n.03 object.n.01, no object.n.01 causal_agent.n.01: no instrumentality.n.03 causal_agent.n.01; some instrumentality.n.03 causal_agent.n.01
all social_scientist.n.01 scientist.n.01, no scientist.n.01 malcontent.n.01: no social_scientist.n.01 malcontent.n.01; some social_scientist.n.01 malcontent.n.01
all writing.n.02 communication.n.02, no communication.n.02 relation.n.01: no writing.n.02 relation.n.01; some writing.n.02 relation.n.01
all plate.n.02 whole.n.02, no whole.n.02 discard.n.01: no plate.n.02 discard.n.01; some plate.n.02 discard.n.01
all musical_instrument.n.01 device.n.01, no device.n.01 conveyance.n.03: no musical_instrument.n.01 conveyance.n.03; some musical_instrument.n.01 conveyance.n.03
all thief.n.01 wrongdoer.n.01, no wrongdoer.n.01 polluter.n.01: no thief.n.01 polluter.n.01; some thief.n.01 polluter.n.01
all building.n.01 whole.n.02, no whole.n.02 vagabond.n.01: no building.n.01 vagabond.n.01; some building.n.01 vagabond.n.01
all talk.v.02 communicate.v.02, no communicate.v.02 manipulate.v.05: no talk.v.02 manipulate.v.05; some talk.v.02 manipulate.v.05
all whole.n.02 object.n.01, no object.n.01 causal_agent.n.01: no whole.n.02 causal_agent.n.01; some whole.n.02 causal_agent.n.01
all soil.n.02 material.n.01, no material.n.01 activator.n.01: no soil.n.02 activator.n.01; some soil.n.02 activator.n.01
all flavorer.n.01 food.n.01, no food.n.01 hydrocolloid.n.01: no flavorer.n.01 hydrocolloid.n.01; some flavorer.n.01 hydrocolloid.n.01
