some group.n.01 egyptian.n.01, all egyptian.n.01 african.n.01: some group.n.01 african.n.01; no group.n.01 african.n.01
some woman.n.01 attendant.n.01, all attendant.n.01 assistant.n.01: some woman.n.01 assistant.n.01; no woman.n.01 assistant.n.01
some composition.n.09 picture.n.01, all picture.n.01 representation.n.02: some composition.n.09 representation.n.02; no composition.n.09 representation.n.02
some communicator.n.01 peddler.n.01, all peddler.n.01 seller.n.01: some communicator.n.01 seller.n.01; no communicator.n.01 seller.n.01
some discipline.n.01 art.n.02, all art.n.02 creation.n.01: some discipline.n.01 creation.n.01; no discipline.n.01 creation.n.01
some mineral.n.01 pigment.n.01, all pigment.n.01 coloring_material.n.01: some mineral.n.01 coloring_material.n.01; no mineral.n.01 coloring_material.n.01
some toxin.n.01 weapon.n.01, all weapon.n.01 instrument.n.01: some toxin.n.01 instrument.n.01; no toxin.n.01 instrument.n.01
some text.n.01 document.n.02, all document.n.02 representation.n.02: some text.n.01 representation.n.02; no text.n.01 representation.n.02
some antiquity.n.03 stone.n.02, all stone.n.02 building_material.n.01: some antiquity.n.03 building_material.n.01; no antiquity.n.03 building_material.n.01
some loss.n.01 expense.n.01, all expense.n.01 cost.n.01: some loss.n.01 cost.n.01; no loss.n.01 cost.n.01
some serviceman.n.01 politician.n.02, all politician.n.02 leader.n.01: some serviceman.n.01 leader.n.01; no serviceman.n.01 leader.n.01
some writer.n.01 lecturer.n.02, all lecturer.n.02 speaker.n.01: some writer.n.01 speaker.n.01; no writer.n.01 speaker.n.01
some king.n.01 saxon.n.01, all saxon.n.01 european.n.01: some king.n.01 european.n.01; no king.n.01 european.n.01
some gossip.n.03 woman.n.01, all woman.n.01 female.n.02: some gossip.n.03 female.n.02; no gossip.n.03 female.n.02
some poison.n.01 medicine.n.02, all medicine.n.02 drug.n.01: some poison.n.01 drug.n.01; no poison.n.01 drug.n.01
some agent.n.03 hormone.n.01, all hormone.n.01 secretion.n.02: some agent.n.03 secretion.n.02; no agent.n.03 secretion.n.02
some missionary.n.02 organist.n.01, all organist.n.01 musician.n.01: some missionary.n.02 musician.n.01; no missionary.n.02 musician.n.01
some attacker.n.01 criminal.n.01, all criminal.n.01 principal.n.05: some attacker.n.01 principal.n.05; no attacker.n.01 principal.n.05
some location.n.01 shape.n.02, all shape.n.02 attribute.n.02: some location.n.01 attribute.n.02; no location.n.01 attribute.n.02
some strip.n.02 loop.n.02, all loop.n.02 simple_closed_curve.n.01: some strip.n.02 simple_closed_curve.n.01; no strip.n.02 simple_closed_curve.n.01
some young.n.01 fish.n.01, all fish.n.01 aquatic_vertebrate.n.01: some young.n.01 aquatic_vertebrate.n.01; no young.n.01 aquatic_vertebrate.n.01
some disorder.n.01 illness.n.01, all illness.n.01 ill_health.n.01: some disorder.n.01 ill_health.n.01; no disorder.n.01 ill_health.n.01
some device.n.01 implement.n.01, all implement.n.01 instrumentality.n.03: some device.n.01 instrumentality.n.03; no device.n.01 instrumentality.n.03
some foldout.n.01 spread.n.07, all spread.n.07 page.n.01: some foldout.n.01 page.n.01; no foldout.n.01 page.n.01
some bishop.n.01 historian.n.01, all historian.n.01 scholar.n.01: some bishop.n.01 scholar.n.01; no bishop.n.01 scholar.n.01
some fuel.n.01 gas.n.02, all gas.n.02 fluid.n.02: some fuel.n.01 fluid.n.02; no fuel.n.01 fluid.n.02
some marshal.n.02 general.n.01, all general.n.01 general_officer.n.01: some marshal.n.02 general_officer.n.01; no marshal.n.02 general_officer.n.01
some racer.n.03 horse.n.01, all horse.n.01 equine.n.01: some racer.n.03 equine.n.01; no racer.n.03 equine.n.01
some poison.n.01 instrument.n.01, all instrument.n.01 device.n.01: some poison.n.01 device.n.01; no poison.n.01 device.n.01
some economist.n.01 diplomat.n.01, all diplomat.n.01 official.n.01: some economist.n.01 official.n.01; no economist.n.01 official.n.01
some abolitionist.n.01 feminist.n.01, all feminist.n.01 reformer.n.01: some abolitionist.n.01 reformer.n.01; no abolitionist.n.01 reformer.n.01
some ballplayer.n.01 coach.n.01, all coach.n.01 trainer.n.01: some ballplayer.n.01 trainer.n.01; no ballplayer.n.01 trainer.n.01
some corrosion.n.02 oxidation.n.01, all oxidation.n.01 chemical_reaction.n.01: some corrosion.n.02 chemical_reaction.n.01; no corrosion.n.02 chemical_reaction.n.01
some player.n.01 holder.n.02, all holder.n.02 owner.n.02: some player.n.01 owner.n.02; no player.n.01 owner.n.02
some apostle.n.03 saint.n.01, all saint.n.01 deity.n.01: some apostle.n.03 deity.n.01; no apostle.n.03 deity.n.01
some dollar.n.01 currency.n.01, all currency.n.01 medium_of_exchange.n.01: some dollar.n.01 medium_of_exchange.n.01; no dollar.n.01 medium_of_exchange.n.01
some lover.n.01 man.n.01, all man.n.01 male.n.02: some lover.n.01 male.n.02; no lover.n.01 male.n.02
some activity.n.01 affairs.n.02, all affairs.n.02 transaction.n.01: some activity.n.01 transaction.n.01; no activity.n.01 transaction.n.01
some agent.n.03 fluid.n.01, all fluid.n.01 substance.n.01: some agent.n.03 substance.n.01; no agent.n.03 substance.n.01
some indian.n.02 soldier.n.01, all soldier.n.01 enlisted_person.n.01: some indian.n.02 enlisted_person.n.01; no indian.n.02 enlisted_person.n.01
some toxin.n.01 albumin.n.01, all albumin.n.01 simple_protein.n.01: some toxin.n.01 simple_protein.n.01; no toxin.n.01 simple_protein.n.01
some consort.n.01 marchioness.n.02, all marchioness.n.02 lady.n.03: some consort.n.01 lady.n.03; no consort.n.01 lady.n.03
some writer.n.01 soldier.n.01, all soldier.n.01 enlisted_person.n.01: some writer.n.01 enlisted_person.n.01; no writer.n.01 enlisted_person.n.01
some copy.n.02 photograph.n.01, all photograph.n.01 representation.n.02: some copy.n.02 representation.n.02; no copy.n.02 representation.n.02
some saint.n.01 theologian.n.01, all theologian.n.01 scholar.n.01: some saint.n.01 scholar.n.01; no saint.n.01 scholar.n.01
some writer.n.01 existentialist.n.01, all existentialist.n.01 philosopher.n.01: some writer.n.01 philosopher.n.01; no writer.n.01 philosopher.n.01
some explorer.n.01 missionary.n.01, all missionary.n.01 teacher.n.01: some explorer.n.01 teacher.n.01; no explorer.n.01 teacher.n.01
some comedian.n.01 singer.n.01, all singer.n.01 musician.n.01: some comedian.n.01 musician.n.01; no comedian.n.01 musician.n.01
some death.n.01 mishap.n.02, all mishap.n.02 misfortune.n.01: some death.n.01 misfortune.n.01; no death.n.01 misfortune.n.01
some structure.n.01 covering.n.02, all covering.n.02 artifact.n.01: some structure.n.01 artifact.n.01; no structure.n.01 artifact.n.01
some astronaut.n.01 senator.n.01, all senator.n.01 legislator.n.01: some astronaut.n.01 legislator.n.01; no astronaut.n.01 legislator.n.01
some official.n.01 fireman.n.04, all fireman.n.04 defender.n.01: some official.n.01 defender.n.01; no official.n.01 defender.n.01
some diet.n.01 pill.n.01, all pill.n.01 thing.n.04: some diet.n.01 thing.n.04; no diet.n.01 thing.n.04
some leader.n.01 nationalist.n.02, all nationalist.n.02 advocate.n.01: some leader.n.01 advocate.n.01; no leader.n.01 advocate.n.01
some friend.n.01 woman.n.01, all woman.n.01 female.n.02: some friend.n.01 female.n.02; no friend.n.01 female.n.02
some engraver.n.01 maestro.n.01, all maestro.n.01 artist.n.01: some engraver.n.01 artist.n.01; no engraver.n.01 artist.n.01
